gym_name,category,address,area,pincode,phone,website,google_rating,review_count,google_maps_url
"Shape IT Wellness Center (Herbalife)","Fitness center / Wellness / Yoga","2nd floor, Ganga Savitri Mahavir Compound, Sadar Main Rd, beside Latest Fashion, Sadar, Jabalpur MP 482001","Sadar","482001","+91 91111 98866","https://shape-it-center.goherbalife.com/en-in",4.7,28,"https://maps.google.com/?cid=ChIJc6ren36ugTkR2Ns-tFj19zo"
"Fitness Jungle","Gym","Manmohan Nagar, Transport Nagar, Jabalpur MP 482002","Transport Nagar","482002","+91 96309 96511","",4.8,184,"https://maps.google.com/?cid=ChIJQ0htbLaxgTkRVdebo7XlT_Y"
"My Fitness Gym","Gym / Fitness center","Ekta Chowk, 10, MR-4 Rd, near Dubey Gas Agency, Vijay Nagar, Jabalpur MP 482002","Vijay Nagar","482002","+91 79747 28262","",4.9,113,"https://maps.google.com/?cid=ChIJn_P0PNexgTkRr38y0Y_vj6Q"
"Iron Alliance Gym","Gym","1st floor, Ekta Chowk, above Hero Electric Shop, Vijay Nagar, Jabalpur MP 482002","Vijay Nagar","482002","+91 88393 16009","https://www.instagram.com/ironalliancegymjabalpur/",4.9,14,"https://maps.google.com/?cid=ChIJkwIsQvuxgTkR1LPS9mPMQtU"
"FITNESS ANYTYM GYM","Gym / Fitness center","Vijay Nagar, Jabalpur MP 482002","Vijay Nagar","482002","+91 83491 65830","",4.6,229,"https://maps.google.com/?cid=ChIJK4NAIbKxgTkRRYv1CrYTVJw"
"Ladies Fitness Club","Gym (Ladies)","Saptrishi Nagar, Gali no 7, Kanchan Vihar, Vijay Nagar, Jabalpur MP 482001","Vijay Nagar","482001","+91 97523 09559","https://www.instagram.com/fitnessladiesjbp/",4.8,35,"https://maps.google.com/?cid=ChIJi8fsqjGxgTkR2E3c99eDaGI"
"Fitway The Gym","Gym","Kachhpura Railway Station Rd, Sanjeevani Nagar, Jabalpur MP 482002","Sanjeevani Nagar","482002","+91 98272 39189","",4.2,118,"https://maps.google.com/?cid=ChIJn3vkFuyxgTkRMe1JunPKk0I"
"Next Level Gym","Gym / Fitness center","near Ghadi Chowk, Kanchan Vihar, Vijay Nagar, Jabalpur MP 482002","Vijay Nagar","482002","+91 87706 43691","",3.7,139,"https://maps.google.com/?cid=ChIJedg7su6xgTkRvSfJkDkkRMo"
"Transform 360 Gym","Gym","Shatabdipuram Phase 1, Jabalpur MP 482002","Shatabdipuram","482002","+91 99265 49545","",4.5,87,"https://maps.google.com/?cid=ChIJ20hZPiyxgTkRkOVMrZbJkBM"
"Figurine Ladies Gym","Gym (Ladies)","House no.99, New Jagdamba Colony Rd, Tulsi Nagar, Vijay Nagar, Jabalpur MP 482002","Vijay Nagar","482002","+91 79995 22787","",5.0,13,"https://maps.google.com/?cid=ChIJm-LYab6vgTkRH0k5c6oM3nc"
